winery,country,provinces,prices,scores,designations,varieties,num_wines
Lucien Lardy,{France},{Beaujolais},"{40.0, 17.0, 50.0, 20.0, 22.0, 25.0, 28.0}","{89, 90, 91, 92, 93}","{Les Roches, Côte de Py, Les Thorins, Les Chênes, Vignes de 1951}",{Gamay},12
Lucienne,{US},{California},"{40.0, 50.0, 45.0}","{87, 88, 89, 90, 91, 92, 93, 94}","{Lone Oak Vineyard, Smith Vineyard, Hook Vineyard, Doctor's Vineyard}","{Pinot Noir, Chardonnay}",26
Lucky,{US},{California},{24.0},{84},{Proprietary},{Red Blend},1
Lucy,{US},{California},{18.0},"{84, 86}",{Rosé of Pinot Noir},{Rosé},2
Ludwig,{US},{California},"{18.0, 28.0, 13.0}","{88, 84, 86}","{Hammerklavier McIntyre Vineyard Pinot Noir-Dornfelder, Sweetwater Vineyard, Hillside Vineyard}","{Riesling, Red Blend}",3
Luiano,{Italy},{Tuscany},"{11.0, 22.0, 55.0, 25.0, 30.0}","{85, 86, 89, 90, 91}","{Riserva, Ottantuno Gran Selezione, Lui, Gran Selezione, Rossoassai}","{Red Blend, Sangiovese}",8
Luigi Baudana,{Italy},{Piedmont},"{40.0, 75.0, 30.0, 85.0, 55.0, 62.0}","{88, 91, 92, 93, 94}","{Baudana, Cerretta, del Comune di Serralunga d'Alba, Donatella}","{Nebbiolo, Barbera}",8
Luigi Bosca,{Argentina},{Mendoza Province},"{10.0, 11.0, 13.0, 15.0, 18.0, 20.0, 21.0, 22.0, 25.0, 27.0, 28.0, 30.0, 35.0, 36.0, 165.0, 38.0, 39.0, 169.0, 95.0}","{81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Reserva, Finca La Linda, Gala 4, Icono, Gala 2}","{Malbec, Cabernet Blend, Pinot Noir, Cabernet Franc-Malbec, Cabernet Sauvignon}",42
Luigi Maffini,{Italy},{Southern Italy},"{25.0, 42.0}","{88, 87}","{Pietraincatenata, Kràtos}",{Fiano},2
Luigi Oddero & Figli,{Italy},{Piedmont},"{129.0, 97.0, 131.0, 132.0, 102.0, 140.0, 110.0, 89.0, 59.0}","{96, 90, 91, 92, 94}","{Vigna Rionda, Rocche Rivera, Specola, Rocche Riviera, Rombone}",{Nebbiolo},10
Luigi Pira,{Italy},{Piedmont},"{40.0, 65.0, 56.0}","{90, 94}","{Margheria, Vigna Marenca}",{Nebbiolo},3
Luigi Righetti,{Italy},{Veneto},"{160.0, 35.0, 40.0, 16.0, 17.0, 19.0, 25.0, 30.0}","{88, 93, 85, 87}","{Capitel de' Roari, Campolieti, Capitel de Roari, G & G, G&G;}","{Corvina, Rondinella, Molinara, Red Blend, Corvina}",13
Luigi Voghera,{Italy},{Piedmont},{60.0},{88},{Basarin},{Nebbiolo},1
Luis Alegre,{Spain},{Northern Spain},"{40.0, 70.0, 15.0}","{88, 89, 92}","{Gran Vino Pontac, Parcela N.5, Koden}","{Tempranillo Blend, Tempranillo}",3
Luis Cañas,{Spain},{Northern Spain},"{40.0, 18.0, 19.0, 50.0, 21.0, 25.0, 27.0}","{85, 88, 89, 92, 93}","{Reserva, Crianza, Reserva Selección de la Familia, Amaren}","{Tempranillo Blend, Tempranillo}",7
Luis Duarte,{Portugal},{Alentejano},"{40.0, 15.0, 16.0, 50.0, 18.0, 20.0, 23.0, 25.0, 26.0, 60.0, 30.0}","{88, 89, 90, 92, 93, 94, 95}","{Rapariga da Quinta Reserva, Rubrica, Rubrica Branco, Rapariga da Quinta Colheita Seleccionada, Monte do Carrapatelo Colheita Seleccionada}","{Portuguese Red, Portuguese White, Rosé}",25
Luis Felipe Edwards,{Chile},"{Colchagua Valley, Leyda Valley, Casablanca Valley, Central Valley, Maule Valley}","{35.0, 40.0, 9.0, 10.0, 12.0, 13.0, 14.0, 17.0, 55.0, 24.0, 25.0, 29.0, 30.0}","{80, 81, 83, 84, 85, 86, 87, 88, 89, 90, 91, 93}","{Reserva, Marea, Doña Bernarda, Family Selection, Riscos de Puquillay Alto}","{Sauvignon Blanc, Cabernet Sauvignon, Red Blend, Malbec, Pinot Noir}",33
Luis Pato,{Portugal},"{Beira Atlantico, Bairrada}","{16.0, 18.0}","{90, 92}","{Vinhas Velhas, Vinha Formal}",{Portuguese White},3
Luis Seabra,{Portugal},{Vinho Verde},{45.0},{90},{Granito Cru},{Alvarinho},1
Luis Segundo Correas,{Argentina},{Mendoza Province},"{9.0, 12.0, 13.0, 15.0, 17.0}","{81, 84}","{Valle Las Acequias, El Cipres, Choique Reserva, Valle Las Acequias Finca Don Angelino Single Vineyard, Valle Las Acequias Clase A}","{Malbec, Cabernet Sauvignon, Chardonnay}",7
Luis Soares Duarte,{Portugal},{Douro},{52.0},{92},{Momentos},{Portuguese Red},1
Luiz Barichello,{Italy},{Tuscany},"{60.0, 30.0}","{93, 86}","{Turris, Iohanna Gran Selezione}","{Red Blend, Sangiovese}",3
Lujon,{US},{Oregon},{25.0},"{88, 89}",{Spofford Station},"{Cabernet Sauvignon, Syrah}",3
Luke Donald,{US},{California},{42.0},"{88, 91}",{LDC},"{Bordeaux-style Red Blend, Red Blend}",2
Luko,{US},{California},{52.0},{93},{White Hawk Vineyard},{Syrah},1
Lula,{US},{California},"{29.0, 45.0}","{90, 91}","{Costa Vineyard, Mariah Vineyard}","{Pinot Noir, Zinfandel}",3
Lullaby,{US},{Washington},"{35.0, 45.0, 22.0}","{88, 89, 91}","{Lalayee Red, Blanc de Virginie}","{Sauvignon Blanc, Merlot-Cabernet Sauvignon, Red Blend}",3
Luma Chequén,{Chile},{Maule Valley},{15.0},"{85, 86}",{Reserva Estate Bottled},"{Carmenère, Cabernet Sauvignon}",3
Lumen,{US},{California},"{49.0, 30.0}","{90, 91}",{Sierra Madre Vineyard},"{Pinot Noir, Chardonnay}",2
Luminary,{US},{America},{45.0},{90},{American},{Red Blend},1
Luminis,{Argentina},{Mendoza Province},{25.0},{83},"{Allamand Altamira, Perdriel}",{Malbec},2
Luminous Hills,{US},{Oregon},"{35.0, 28.0}","{88, 86, 87}","{Lux, Estate Grown, LUX}",{Pinot Noir},4
Lumos,{US},{Oregon},"{34.0, 35.0, 38.0, 45.0, 17.0, 18.0, 19.0, 20.0, 22.0, 24.0, 25.0}","{82, 86, 87, 88, 89, 90, 91}","{Temperance Hill Vineyard, Temperance Hill Vineyard Julia, Logsdon Ridge Vineyard Rudolfo, Chiquita Pinot Noir, Wren Vineyard}","{Pinot Noir, Pinot Gris, Gewürztraminer, Rosé, Chardonnay}",22
Luna,{US},{California},"{32.0, 42.0, 46.0, 110.0, 48.0, 60.0}","{87, 88, 90, 91, 92, 93}","{Minuet Sangiovese, Reserve Estate, Mille Baci Estate Late Harvest, Bubbles, Winemaker's}","{Rosé, Pinot Grigio, Sparkling Blend, Chardonnay, Red Blend}",8
Luna Beberide,{Spain},{Northern Spain},"{22.0, 30.0, 55.0}","{87, 88, 89, 90, 91, 92}","{Art, Finca la Cuesta, Tierras de Luna, Finca La Cuesta}","{Mencía, Red Blend}",7
Luna Di Luna,{Italy},{Veneto},{12.0},{82},{Extra Dry},{White Blend},1
Luna Hart,{US},{California},"{35.0, 20.0, 23.0}","{88, 90, 91}","{Faith Vineyard, Aurora, Brave & Maiden Vineyard}","{Sauvignon Blanc, White Blend, Cabernet Franc}",3
Lunadoro,{Italy},{Tuscany},"{32.0, 65.0, 42.0, 48.0, 55.0, 24.0, 60.0}","{85, 87, 88, 89, 90, 93}","{Quercione Riserva, Pagliareto, Tradizionale, Prugnanello}","{Red Blend, Sangiovese}",10
Lundeen,{US},{Oregon},"{40.0, 50.0, 20.0, 24.0, 28.0, 29.0, 30.0}","{87, 88, 89, 90, 91, 92}","{Z'ivo Vineyard, Articulate, La Cantera Vineyard, Brut Blanc de Noirs, Bunker Hill Vineyard}","{Pinot Noir, Sparkling Blend, Chardonnay, Riesling}",12
Lungarotti,{Italy},{Central Italy},"{32.0, 64.0, 40.0, 45.0, 14.0, 15.0, 17.0, 57.0, 60.0, 63.0}","{85, 86, 87, 88, 89, 90, 91, 92}","{Rubesco Riserva Vigna Monticchio, Torre di Giano, Rubesco, Vigna Monticchio, Torre di Giano Vigna il Pino}","{Red Blend, White Blend, Pinot Grigio, Sagrantino}",17
Luretta,{Italy},"{Italy Other, Central Italy}","{35.0, 15.0, 18.0, 20.0, 25.0}","{82, 84, 86, 87}","{Principessa Brut, Principessa Pas Dosé, On attend les Invites, On Attend Les Invites, I Nani e le Ballerine}","{Chardonnay, Pinot Nero, Sparkling Blend, Sauvignon}",6
Lusco,{Spain},{Galicia},"{18.0, 19.0, 20.0}","{88, 84, 86, 87}","{Zios, Zios de Lusco}",{Albariño},5
Lusso Della Terra,{US},{California},"{24.0, 35.0, 28.0}","{90, 91, 92}","{Clone 809, Rose of, Reserve}","{Chardonnay, Merlot}",4
Lustau,{Spain},{Andalucia},"{42.0, 16.0, 17.0, 20.0, 25.0, 30.0}","{89, 90, 92, 93, 94}","{Dry Amontillado Los Arcos, Light Fino Jarana, Almacenista Palo Cortado de Jerez, Almancenista José Luis González Obregón Amontillado del Puerto, Medium Golden La Plaza Vieja Medium Dry}",{Sherry},9
Lutum,{US},{California},"{50.0, 60.0}","{90, 91, 92, 93}","{Gap's Crown Vineyard, Durell Vineyard, La Rinconada Vineyard, Bien Nacido Vineyard}","{Pinot Noir, Chardonnay}",14
Lyeth,{US},{California},"{10.0, 11.0, 13.0, 16.0, 30.0}","{84, 85, 86, 87, 91}","{L de Lyeth, Chronology Grand Reserve, Chronology, Reserve, Fleur de Lyeth}","{Cabernet Sauvignon, Merlot, Chardonnay, Meritage, Red Blend}",12
Lynch Wines,{US},{California},"{25.0, 21.0}","{91, 92}","{Strummer, Lucky Cash}","{Syrah, Red Blend}",3
Lynmar,{US},{California},"{65.0, 100.0, 70.0, 40.0, 80.0, 50.0, 20.0, 85.0, 22.0, 55.0, 25.0, 60.0}","{96, 97, 88, 89, 90, 91, 92, 93, 94, 95}","{Quail Hill Vineyard, Susanna's Vineyard, Monastery, La Sereinité, Rosé of}","{Pinot Noir, Chardonnay, Rosé}",106
Lyrarakis,{Greece},{Crete},"{35.0, 45.0, 16.0, 18.0, 50.0, 25.0}","{85, 86, 87, 88, 89, 90}","{Vóila Vineyard, Petrokaliva Vineyard, Malvasia of Crete Naturally Sweet Wine, Armi Vineyard, Oak Aged}","{Assyrtiko, Assyrtico, Malvasia, Thrapsathiri, Cabernet Sauvignon-Merlot}",10
Lágrimas de Maria,{Spain},{Northern Spain},"{19.0, 12.0}","{83, 87}","{Madurado, Reserva}",{Tempranillo},2
Lété-Vautrain,{France},{Champagne},"{24.0, 32.0, 35.0, 30.0}","{88, 89, 90, 87}","{Brut 204, Brut Royal Rosé, Millésime Brut}",{Champagne Blend},6
M. & J-F Bertrand,{France},{France Other},{15.0},"{84, 85}","{Fleur de Carbonnel, Fleur de Carbonnel Sauvignon}","{Sauvignon Blanc, Merlot, Chardonnay}",3
M. Chapoutier,{France},"{Rhône Valley, Languedoc-Roussillon, Provence}","{13.0, 14.0, 15.0, 16.0, 17.0, 150.0, 23.0, 26.0, 27.0, 29.0, 30.0, 36.0, 45.0, 56.0, 57.0, 92.0, 109.0, 110.0, 120.0, 253.0}","{98, 82, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93}","{Belleruche, Chante-Alouette, Petite Ruche, Les Meysonniers, Domaine de Bila-Haut Vin Doux Naturel}","{Rhône-style Red Blend, Rosé, Rhône-style White Blend, Marsanne, Syrah}",32
M. Cosentino,{US},{California},"{65.0, 100.0, 16.0, 22.0, 27.0, 30.0}","{85, 86, 87, 88, 89, 94}","{The Zin, Secret Clone, The Novelist Meritage, Vin Doux Viognier Kay, The Poet}","{Zinfandel, Cabernet Sauvignon, Semillon-Sauvignon Blanc, Viognier, Bordeaux-style Red Blend}",7
M. Trinchero,{US},{California},"{40.0, 19.0, 13.0}","{89, 84, 86}","{Family Selection, Mary's Vineyard, Founder's Estate}","{Cabernet Sauvignon, Sauvignon Blanc}",3
M2,{US},{California},"{35.0, 45.0, 22.0, 24.0, 28.0, 30.0}","{83, 86, 87, 89, 91}","{Lodi Native Soucie Vineyard, Belle Etoile Blanche, Lani's Vineyard, Soucie Vineyard Old Vine, Duality}","{Zinfandel, White Blend, Syrah, Red Blend}",7
MAD Wines,{US},{California},"{30.0, 22.0}","{88, 84, 85}","{Brix 26.2, Brix 24.5, 24.4 Brix}","{Cabernet Sauvignon, Pinot Noir, Chardonnay}",3
MAN Family Wines,{South Africa},{Coastal Region},{11.0},"{85, 86}","{Bosstok, Free-run Steen, Ou Kalant}","{Pinotage, Chenin Blanc, Cabernet Sauvignon}",4
MAN Vintners,{South Africa},{Coastal Region},{11.0},{87},"{(Steen), Cuvée V}",{Chenin Blanc},2
MCV,{US},{California},"{36.0, 40.0, 42.0, 48.0, 16.0, 18.0, 52.0, 30.0}","{86, 88, 89, 90, 91, 92, 93}","{1105, Rosewynn Vineyard, Pink, Black, TMZ}","{Red Blend, Petite Sirah, Rosé, White Blend}",12
MICA Cellars,{US},{California},{30.0},"{84, 86, 87}","{Babcock Vineyard, Smith Road Vineyards, Rows 2–5, CFM Jolon Vineyard}","{Cabernet Franc, Pinot Noir, Red Blend}",3
Ma(i)sonry,{US},{California},{40.0},{88},{Hudson Vineyard},{Sauvignon Blanc},2
Maal,{Argentina},{Mendoza Province},"{28.0, 20.0, 45.0}","{88, 91, 84}","{Biolento, Bestial, Biutiful, Imposible}",{Malbec},4
MacLaren,{US},{California},"{35.0, 38.0, 40.0, 43.0, 45.0, 60.0, 47.0, 55.0, 25.0, 28.0, 30.0}","{84, 88, 89, 90, 91, 92, 93, 94}","{Samantha's Vineyard, Atoosa's Vineyard, Lee's, Drouthy Neebors, Judge Family Vineyard}","{Syrah, Sauvignon Blanc, Pinot Noir}",25
MacLeod,{US},{California},"{24.0, 28.0, 30.0}","{88, 90, 91}","{Indian Springs Ranch Estate Grown, Marie's Cuvée, Indian Springs Ranch}","{Sauvignon Blanc, Zinfandel}",3
MacMurray Estate Vineyards,{US},{California},"{35.0, 37.0, 43.0, 60.0, 30.0}","{88, 89, 90, 91, 92}","{Reserve, Winemaker's Block}",{Pinot Noir},8
MacMurray Ranch,{US},{California},"{60.0, 37.0, 23.0}","{86, 87, 89, 90, 92}","{Winemaker's Block Selection, Winemaker's Block, Reserve, Estate Vineyards}",{Pinot Noir},7
MacPhail,{US},{California},"{65.0, 45.0, 49.0, 52.0, 85.0, 22.0, 55.0, 58.0, 59.0, 60.0}","{85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Sangiacomo Vineyard, The Flyer, Wildcat Vineyard, Ferrington Vineyard, Pratt Vineyard}","{Pinot Noir, Chardonnay, Rosé}",63
MacRostie,{US},{California},"{34.0, 35.0, 40.0, 44.0, 45.0, 46.0, 54.0, 56.0}","{85, 86, 87, 88, 90, 91, 92, 93, 94}","{Wildcat Mountain Vineyard, Dutton Ranch, Sangiacomo Vineyard, Manzana Vineyard, Goldrock Ridge}","{Chardonnay, Pinot Noir, Syrah}",27
Macari,{US},{New York},"{35.0, 36.0, 40.0, 43.0, 15.0, 17.0, 18.0, 19.0, 50.0, 22.0, 23.0, 24.0, 27.0, 30.0}","{80, 82, 83, 84, 85, 86, 87, 88, 89, 90, 92}","{Estate Bottled, Reserve, Dos Aguas, Early Wine, Katherine's Field}","{Chardonnay, Sauvignon Blanc, Bordeaux-style Red Blend, Sparkling Blend, Cabernet Franc}",32
Macauley,{US},{California},"{125.0, 45.0, 150.0, 175.0}","{96, 97, 91, 93, 95}","{Reserve, Old Vine, Special Selected Late Harvest Botrytis, Beckstoffer To Kalon, Beckstoffer To Kalon Vineyard}","{Cabernet Sauvignon, Zinfandel, Sémillon}",5
Macchia,{US},{California},"{24.0, 35.0, 30.0, 22.0}","{85, 86, 88, 89, 91}","{Lodi Native Schmiedt Ranch, Rebellious, Devious, Infamous Cooper Ranch, Lodi Native Maley's Lucas Rd Vineyard}","{Zinfandel, Petite Sirah, Primitivo, Barbera}",6
Machherndl,{Austria},{Wachau},"{15.0, 19.0, 20.0, 28.0, 29.0, 30.0}","{88, 89, 86, 87}","{Hochrain Old Vines, Kollmütz Smaragd, Steinwand Smaragd, Kollmutz Federspiel, Kollmitz Smaragd}","{Grüner Veltliner, Pinot Blanc, Chardonnay, Riesling}",7
Machiavelli,{Italy},{Tuscany},"{25.0, 35.0, 30.0}","{88, 90, 86, 87}","{Solatio del Tani, Ser Niccolò, Vigna di Fontalle Riserva, Il Principe}","{Red Blend, Cabernet Sauvignon, Sangiovese}",6
Machine Breaker,{US},{Oregon},{23.0},{88},{We The People},{Pinot Noir},1
Mackey Vineyards,{US},{Washington},{15.0},{90},{Off Dry},{Riesling},1
Mackinaw Trail,{US},{Michigan},"{100.0, 45.0, 14.0, 15.0, 50.0}","{82, 84, 86, 87}","{Unrestricted Passito, White Ibis Sweet, Unrestricted Barrel Reserve, Late Harvest, Unrestricted}","{Cabernet Franc, White Blend, Chardonnay, Riesling, Syrah}",6
Macquariedale,{Australia},{New South Wales},{22.0},{83},{Thomas},{Shiraz},1
Maculan,{Italy},{Veneto},"{100.0, 40.0, 10.0, 12.0, 15.0, 18.0, 19.0, 22.0}","{86, 87, 90, 92, 93}","{Brentino, Dindarello, Ferrata, Pino & Toi, Torcolato}","{Red Blend, Moscato, Sauvignon, White Blend, Vespaiolo}",11
Mad Dogs & Englishmen,{Spain},{Levante},"{10.0, 11.0}","{83, 86}","{Cabernet Sauvignon-Shiraz-Monastrell, Shiraz - Cabernet - Monastrell}",{Red Blend},2
Mad Fish,{Australia},{Western Australia},{25.0},{88},{Vera's Cuvée Méthode Traditionnelle},{Sparkling Blend},1
Maddalena,{US},{California},{15.0},{87},{Moscato},{Muscat Canelli},2
Madison Ridge,{Australia},{Australia Other},{13.0},{85},{Barker's Lane},{Chardonnay},1
Madmon,{Israel},{Shomron},{30.0},{92},{Soreka Special Reserve},{Cabernet Sauvignon},1
Madonna Alta,{Italy},{Tuscany},{16.0},{87},{Nativo},{Red Blend},1
Madrigal,{US},{California},"{65.0, 100.0, 70.0, 45.0, 80.0, 50.0, 150.0, 60.0, 30.0}","{84, 86, 87, 88, 89, 90, 91, 93}","{Sonnet #63, Estate, Las Viñas del Señor, Estate Reserve, Las Vinas del Señor Reserve}","{Cabernet Sauvignon, Bordeaux-style Red Blend, Petite Sirah, Sauvignon Blanc, Cabernet Franc}",12
Madroña,{US},{California},"{18.0, 28.0}","{85, 87}","{Dry, Reserve Quintet, Reserve}","{Riesling, Bordeaux-style Red Blend, Zinfandel}",4
Maestral,{US},{California},{40.0},{87},{Wein der Eisbox Tondre Vineyard},{Riesling},1
Maestro Sanguineti,{Italy},{Tuscany},{16.0},{86},{Nesun Dorma},{Red Blend},1
Maetierra Dominum,{Spain},{Northern Spain},"{25.0, 68.0, 22.0}","{88, 92, 94}","{QP, QP Reserva, Gavanza}",{Tempranillo Blend},3
Maggio,{US},{California},{9.0},{86},{Old Vine},{Zinfandel},1
Maggio Vini,{Italy},{Sicily & Sardinia},{23.0},{84},{Passoro 500ml},{Moscato},1
Maggiovini,{Italy},{Sicily & Sardinia},"{16.0, 10.0, 12.0}","{84, 85, 86, 87}","{Rasula, Vigna di Pettine, Amongae}","{Red Blend, Cabernet Sauvignon, Nero d'Avola}",5
Maggy Hawk,{US},{California},{66.0},"{86, 89, 90, 91, 92}","{Unforgettable, Stormin', Hawkster, Jolie, Afleet}",{Pinot Noir},10
Magistrate,{US},{California},"{10.0, 20.0, 12.0, 15.0}","{83, 84, 85, 86, 88}","{Limited Production, Restitution, Reserve}","{Chardonnay, Red Blend, Merlot}",8
Magna Mater,{US},{California},{28.0},"{89, 90}",{Vogelzang Vineyard},{Sauvignon Blanc},2
Magnificent Wine Company,{US},{Washington},"{10.0, 11.0, 12.0, 13.0}","{85, 86, 87}","{Steak House, House Wine, House Wine Red}","{Cabernet Sauvignon, Red Blend, Chardonnay}",7
Magnum Vinhos,{Portugal},"{Dão, Alentejano, Douro}","{32.0, 35.0, 100.0, 7.0, 40.0, 9.0, 10.0, 11.0, 12.0, 13.0, 46.0, 15.0, 14.0, 16.0, 45.0, 19.0, 20.0, 28.0}","{85, 86, 87, 88, 89, 90, 91, 92, 94}","{Ribeiro Santo, Jardim da Estrela, Maria Mora, Ribeiro Santo Vinha da Neve, Tom de Baton}","{Portuguese Red, Portuguese White, Encruzado, Touriga Nacional}",29
Mahoney,{US},{California},"{32.0, 36.0, 38.0, 13.0, 18.0, 22.0, 24.0, 28.0}","{85, 87, 88, 89, 90, 91, 92}","{Las Brisas Vineyard, Gavin Vineyard, Mahoney Ranch, Estate}","{Pinot Noir, Chardonnay, Riesling, Vermentino}",12
MaidenStoen,{US},{California},{22.0},"{89, 90, 91}","{Zabala Vineyard, Lafond Vineyard, Coast View Vineyard, Coast View Vineyard  Chualar Canyon}",{Riesling},6
Mailly Grand Cru,{France},{Champagne},"{130.0, 132.0, 160.0, 42.0, 45.0, 46.0, 47.0, 50.0, 51.0, 52.0, 180.0, 55.0, 57.0, 78.0, 80.0, 82.0, 90.0, 100.0, 102.0, 122.0}","{96, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Blanc de Noirs Brut, Brut Réserve, Brut Rosé, Délice Demi-Sec, Extra Brut}","{Champagne Blend, Pinot Noir, Chardonnay}",31
Maior de Mendoza,{Spain},{Galicia},"{25.0, 18.0, 20.0, 36.0}","{86, 87, 88, 89, 90}","{Sobre Lías, On Lees, Argos, 3 Crianzas, Maceración Carbónica}",{Albariño},9
Maipe,{Argentina},{Mendoza Province},"{16.0, 13.0}","{82, 84, 85, 86, 87, 89}","{Andean Culture, Reserve Old Vine, Rosé of Malbec, Reserve}","{Bonarda, Malbec, Rosé, Cabernet Sauvignon}",6
Maison Angelvin,{France},{Provence},"{20.0, 29.0, 38.0}","{88, 90, 91}","{Riviera, Heritage, Grande Réserve}",{Rosé},4
Maison Basque,{US},{California},{24.0},{82},{Black Zinfandel},{Zinfandel},1
Maison Bertrand Ravache,{France},{Bordeaux},{13.0},{88},{Les Hauts de la Gaffelière},{Bordeaux-style White Blend},1
Maison Bleue,{US},{Washington},"{65.0, 35.0, 39.0, 40.0, 45.0, 50.0, 20.0, 55.0, 23.0, 25.0, 29.0, 30.0}","{96, 87, 88, 90, 91, 92, 93, 94, 95}","{Boushey Vineyard Le Midi, Bourgeois, Voyageur, Metis, Au Contraire French Creek Vineyard}","{Grenache, Syrah, Rhône-style Red Blend, Red Blend, Chardonnay}",31
Maison Bouachon,{France},{Rhône Valley},"{70.0, 22.0, 17.0}","{89, 84}","{Pierrelongue, Dédication, Les Rabassières}",{Rhône-style Red Blend},3
Maison Bouey,{France},{Bordeaux},"{10.0, 12.0, 30.0, 15.0}","{82, 84, 85, 86, 87, 88, 89, 91}","{Château Lestruelle, Château Belrose, Cuvée, La Vache, Pierre Angulaire}","{Bordeaux-style Red Blend, Rosé, Bordeaux-style White Blend}",12
Maison Champy,{France},{Burgundy},"{100.0, 75.0, 48.0, 50.0, 53.0, 85.0, 55.0, 60.0}","{85, 88, 89, 91, 92, 93}","{Les Vergelesses Premier Cru, Aux Cras Premier Cru, Premier Cru, Les Bussières, Vieilles Vignes}",{Pinot Noir},10
Maison Denuzière,{France},"{Rhône Valley, Provence}","{18.0, 14.0}","{90, 83}","{Domaine des Hunaudieres, Champs de Provence}",{Rosé},2
Maison Duhard,{France},{Bordeaux},{10.0},{84},{Baron des Chartrons},{Bordeaux-style Red Blend},1
Maison Ginestet,{France},{Bordeaux},{20.0},{87},{Clairet des Carrelets},{Bordeaux-style Red Blend},1
Maison Givas,{France},{Bordeaux},"{18.0, 12.0, 21.0}","{88, 86}","{Vin No. 03, Vin No. 09, Vin No 1}",{Bordeaux-style Red Blend},3
Maison Hebrard,{France},{Bordeaux},"{10.0, 11.0, 14.0}","{88, 84, 85}","{Premium, Château Saint Seurin, Château des Trois Tours}",{Bordeaux-style Red Blend},4
Maison Jean-Baptiste Béjot,{France},"{Beaujolais, Burgundy}","{13.0, 15.0}","{84, 85}","{La Perlière, Château de la Tour de l'Ange}","{Gamay, Chardonnay}",2
Maison L'Envoyé,{US},{Oregon},"{40.0, 20.0, 30.0}","{85, 86, 87, 89, 90}","{The Attaché, Two Messengers, Straight Shooter}",{Pinot Noir},10
Maison Malet Roquefort,{France},{Bordeaux},"{12.0, 22.0, 14.0, 15.0}","{88, 84, 86, 92}","{Léo de la Gaffelière, Les Hauts de la Gaffelière, L'Instant Bordeaux}","{Bordeaux-style Red Blend, Bordeaux-style White Blend}",5
Maison Nicolas,{France},{Southwest France},{10.0},{85},{Réserve},{Sauvignon Blanc},1
Maison Nicolas Perrin,{France},{Rhône Valley},"{88.0, 100.0}","{89, 94}",{Ermitage},{Syrah},2
Maison Saint Aix,{France},{Provence},{20.0},"{89, 90}",{Aix},{Rosé},2
Maison Sichel,{France},{Bordeaux},"{10.0, 12.0, 15.0}","{88, 81, 85}","{Château Argadens, Les Hauts de Bel-Air, Sirius}","{Bordeaux-style White Blend, Bordeaux-style Red Blend}",4
Maison Stéphane Brocard,{France},{Burgundy},"{35.0, 15.0, 48.0, 17.0, 50.0, 16.0, 52.0, 21.0, 20.0, 29.0}","{85, 86, 87, 89, 91, 92}","{Closerie des Alisiers Vieilles Vignes, Closerie des Alisiers, Closerie des Alisiers Les Champs Rémy, Château d'Antigny La Rue du Port, Closerie des Alisiers Domaine Carrette}","{Pinot Noir, Chardonnay, Aligoté}",12
Maison de la Villette,{France},{France Other},{9.0},{87},{Grenache-Syrah-Mourvèdre},{Rhône-style Red Blend},1
Maison des 3 Ponts,{France},{France Other},{12.0},"{84, 85}","{Lepontis, Maison des 3 Ponts}","{Sauvignon Blanc, Chardonnay}",2
Maison du Midi,{France},{Rhône Valley},{23.0},{89},{Plan de Dieu},{Rhône-style Red Blend},1
Maisonry,{US},{California},"{32.0, 42.0, 38.0}","{83, 85, 86, 88, 90, 91}","{Stagecoach Vineyard, Hudson Vineyard, Hanson-Hsieh Vineyard, Scopus Vineyard, Hudson Vineyard Sans Chêne}","{Sauvignon Blanc, Marsanne, Chardonnay, Tempranillo}",8
Majolini,{Italy},{Lombardy},"{42.0, 36.0, 31.0, 39.0}","{88, 89, 90, 92}","{Blanc de Noir Brut, Pas Dosé Aligi Sassu, Altera Rosé, Electo Brut, Brut}","{Sparkling Blend, Chardonnay, Pinot Nero}",6
Makulu,{South Africa},{Western Cape},{7.0},{84},{Sustainable Agriculture Perlè},{Moscato},1
Makura Estate,{Israel},{Upper Galilee},{80.0},{92},{Estate Reserve},{Red Blend},1
Malabaila,{Italy},{Piedmont},{22.0},{86},{Pradvaj},{Arneis},1
Malacari,{Italy},{Central Italy},{18.0},{86},{Villa Malacari},{Montepulciano},1
Malan,{South Africa},{Stellenbosch},{8.0},{86},{Family Vinter's},{Chardonnay},1
Malat,{Austria},"{Kremstal, Wachau, Niederösterreich, Kamptal, Österreichischer Sekt}","{15.0, 17.0, 18.0, 20.0, 22.0, 23.0, 24.0, 25.0, 27.0, 29.0, 33.0, 34.0, 36.0, 39.0, 42.0, 44.0, 47.0, 48.0, 70.0, 75.0, 77.0}","{96, 86, 88, 89, 90, 91, 92, 93, 94, 95}","{Crazy Creatures, Gottschelle Reserve, Furth-Palt, Silberbichl Reserve, Höhlgraben}","{Grüner Veltliner, Riesling, Pinot Blanc, Sparkling Blend, Pinot Noir}",36
